datetime,plant,As_tot_in,As_diss_in,As_tot_out,As_tot_out_cens,As_diss_out,As_diss_out_cens,pH,hardness,cond,TDS,turbidity,DOC,DOC_cens,TOC,TOC_cens,algae,Ca_tot,Ca_diss,Mg_tot,Mg_diss,Mn_tot,Mn_diss,Mn_diss_cens,K_tot,K_diss,Na_tot,Na_diss,F,Cl,SO4,sulphide,sulphide_cens,alkalinity,Al_tot,Sb_tot,B,Fe_tot,Fe_diss,Fe_diss_cens,Li_tot,Mo_tot,Mo_tot_cens,nitrate_N,nitrite_N,nitrite_N_cens,NH4_N,NH4_N_cens,DRP,DRP_cens,TP,coagulant,temperature,year,month,season,As_removed_abs,As_removal_pct,As_LRV,meets_MAV,qa_exclude_multivar,qa_exclude_reason
2007-08-20 00:00:00,HCC,0.018,,0.0007071067811865475,True,,False,,25.0,,,,2.9,False,3.5,False,,6.13,6.1,,2.45,0.0224,0.0061,False,,,,,,,,,False,35.0,0.256,0.0007,,0.26,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,8,Winter,0.01729289321881345,96.07162899340807,1.4057875029352966,1.0,False,
2007-09-10 00:00:00,HCC,0.023,,,False,,False,8.0,27.0,,,,3.5,False,5.5,False,,6.57,6.4,,2.65,0.0272,0.0006,False,,,,,,,,,False,39.0,0.069,0.0007,,0.19,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,9,Spring,,,,,False,
2007-10-18 00:00:00,HCC,0.023,,,False,,False,7.5,25.0,15.2,113.0,,1.2,False,1.7,False,,6.49,5.98,2.69,2.54,0.0342,0.0008,False,3.28,,18.2,,,16.2,8.7,0.001414213562373095,True,40.0,0.053,0.0006,0.229,0.22,0.06,False,0.0774,0.0004,False,0.208,0.003,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2007,10,Spring,,,,,False,
2007-11-07 00:00:00,HCC,0.027,,,False,,False,7.5,25.0,,,,4.2,False,3.0,False,,6.7,6.1,2.7,2.5,0.046,0.0006,False,,,,,,,,,False,40.0,0.093,0.00071,,0.33,0.079,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,11,Spring,,,,,False,
2007-12-14 00:00:00,HCC,0.035,,,False,,False,7.7,27.0,,,,1.1,False,1.5,False,,6.4,6.4,,2.7,0.046,0.0006,False,,,,,,,,,False,43.0,0.031,0.0008,,0.16,0.068,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,12,Summer,,,,,False,
2008-01-10 00:00:00,HCC,0.029,,0.0028,False,,False,,26.0,,,,1.4,False,1.7,False,,6.5,6.1,2.7,2.6,0.0033,0.00035355339059327376,True,,3.0,,20.0,,19.0,8.2,,False,43.0,0.024,0.00065,,0.2,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2008,1,Summer,0.0262,90.34482758620689,1.0152399665567369,1.0,False,
2009-02-11 00:00:00,HCC,0.031,,0.0031,False,,False,7.2,26.0,16.6,130.0,,2.1,False,2.7,False,,6.5,6.0,2.8,2.5,0.035,0.00074,False,3.5,3.2,21.0,21.0,,19.0,9.7,0.001414213562373095,True,40.0,0.043,0.00081,0.27,0.16,0.039,False,0.11,0.00044,False,0.1,0.0088,False,0.019,False,,False,,Aluminium Sulphate,,2009,2,Summer,0.0279,90.0,1.0,1.0,False,
2009-04-30 00:00:00,HCC,0.024,,0.0019,False,,False,7.8,,,,,1.9,False,1.6,False,,6.4,,,,0.024,0.0037,False,,,,,,,,,False,41.0,0.039,0.00079,,0.14,0.041,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,4,Autumn,0.0221,92.08333333333333,1.101457640758777,1.0,False,
2009-05-14 00:00:00,HCC,0.023,,0.0017,False,,False,7.5,,,,,3.0,False,3.4,False,,6.4,,,,0.021,0.0021,False,,,,,,,,,False,41.0,0.052,0.00093,,0.17,0.047,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,5,Autumn,0.0213,92.6086956521739,1.131278914639319,1.0,False,
2009-06-29 00:00:00,HCC,0.021,,0.0007778174593052023,True,,False,7.7,,,,,0.79,False,0.85,False,,6.6,,,,0.051,0.013,False,,,,,,,,,False,36.0,0.29,0.00073,,1.4,0.083,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2009,6,Winter,0.0202221825406948,96.29610733664188,1.4313416074076848,1.0,False,
